ci_ODE,id,x,y,z
0.00015120617512781,248,-1.87575,0,0
0.00015181464853999,249,-1.87525,0,0
0.00015242312111575,250,-1.87475,0,0
0.00015303159379668,251,-1.87425,0,0
0.00015364006658322,252,-1.87375,0,0
0.00015424853900518,253,-1.87325,0,0
0.00015485701059239,254,-1.87275,0,0
0.00015546548416885,255,-1.87225,0,0
0.0001560739559702,256,-1.87175,0,0
0.00015668242787925,257,-1.87125,0,0
0.00015729090083762,258,-1.87075,0,0
0.00015789937296333,259,-1.87025,0,0
0.0001585078456686,260,-1.86975,0,0
0.00015911631801265,261,-1.86925,0,0
0.00015972478952531,262,-1.86875,0,0
0.00016033326161879,263,-1.86825,0,0
0.0001609417342935,264,-1.86775,0,0
0.00016155020566748,265,-1.86725,0,0
0.00016215867856473,266,-1.86675,0,0
0.0001627671492209,267,-1.86625,0,0
0.00016337562234237,268,-1.86575,0,0
0.00016398409369419,269,-1.86525,0,0
0.00016459256610037,270,-1.86475,0,0
0.00016520103767892,271,-1.86425,0,0
0.00016580950937148,272,-1.86375,0,0
0.00016641798117846,273,-1.86325,0,0
0.00016702645262968,274,-1.86275,0,0
0.00016763492513734,275,-1.86225,0,0
0.00016824339540771,276,-1.86175,0,0
0.00016885186861775,277,-1.86125,0,0
0.00016946033865013,278,-1.86075,0,0
0.00017006881162303,279,-1.86025,0,0
0.0001706772828309,280,-1.85975,0,0
0.00017128575368595,281,-1.85925,0,0
0.0001718942246592,282,-1.85875,0,0
0.00017250269669225,283,-1.85825,0,0
0.00017311116837375,284,-1.85775,0,0
0.00017371963970411,285,-1.85725,0,0
0.00017432811021315,286,-1.85675,0,0
0.00017493658131308,287,-1.85625,0,0
0.00017554505347492,288,-1.85575,0,0
0.00017615352387551,289,-1.85525,0,0
0.00017676199486826,290,-1.85475,0,0
0.00017737046645358,291,-1.85425,0,0
0.00017797893722009,292,-1.85375,0,0
0.00017858740858002,293,-1.85325,0,0
0.0001791958786514,294,-1.85275,0,0
0.00017980435025822,295,-1.85225,0,0
0.00018041282057732,296,-1.85175,0,0
0.00018102129149152,297,-1.85125,0,0
0.00018162976253063,298,-1.85075,0,0
0.00018223823275388,299,-1.85025,0,0
0.00018284670357348,300,-1.84975,0,0
0.00018345517451926,301,-1.84925,0,0
0.00018406364512103,302,-1.84875,0,0
0.00018467211632042,303,-1.84825,0,0
0.00018528058576485,304,-1.84775,0,0
0.00018588905674892,305,-1.84725,0,0
0.00018649752692008,306,-1.84675,0,0
0.00018710599769052,307,-1.84625,0,0
0.00018771446764888,308,-1.84575,0,0
0.00018832293773678,309,-1.84525,0,0
0.00018893140795463,310,-1.84475,0,0
0.00018953987830285,311,-1.84425,0,0
0.00019014834831126,312,-1.84375,0,0
0.00019075681939209,313,-1.84325,0,0
0.00019136528872215,314,-1.84275,0,0
0.00019197375865487,315,-1.84225,0,0
0.00019258222872005,316,-1.84175,0,0
0.00019319069844753,317,-1.84125,0,0
0.00019379916877892,318,-1.84075,0,0
0.00019440763877345,319,-1.84025,0,0
0.00019501610796093,320,-1.83975,0,0
0.00019562457822417,321,-1.83925,0,0
0.00019623304768122,322,-1.83875,0,0
0.00019684151727367,323,-1.83825,0,0
0.00019744998700195,324,-1.83775,0,0
0.00019805845686649,325,-1.83725,0,0
0.00019866692592649,326,-1.83675,0,0
0.00019927539606479,327,-1.83625,0,0
0.0001998838644582,328,-1.83575,0,0
0.00020049233487193,329,-1.83525,0,0
0.00020110080401222,330,-1.83475,0,0
0.00020170927282069,331,-1.83425,0,0
0.00020231774270953,332,-1.83375,0,0
0.00020292621179679,333,-1.83325,0,0
0.00020353468055348,334,-1.83275,0,0
0.00020414314945062,335,-1.83225,0,0
0.00020475161942983,336,-1.83175,0,0
0.00020536008860913,337,-1.83125,0,0
0.00020596855698893,338,-1.83075,0,0
0.00020657702598147,339,-1.83025,0,0
0.00020718549464595,340,-1.82975,0,0
0.00020779396392401,341,-1.82925,0,0
0.00020840243240425,342,-1.82875,0,0
0.0002090109010283,343,-1.82825,0,0
0.00020961936979658,344,-1.82775,0,0
0.0002102278387095,345,-1.82725,0,0
0.0002108363068263,346,-1.82675,0,0
0.00021144477602978,347,-1.82625,0,0
0.00021205324349677,348,-1.82575,0,0
0.00021266171252188,349,-1.82525,0,0
0.00021327018122314,350,-1.82475,0,0
0.00021387864913037,351,-1.82425,0,0
0.00021448711718519,352,-1.82375,0,0
0.00021509558585861,353,-1.82325,0,0
0.00021570405468046,354,-1.82275,0,0
0.00021631252223935,355,-1.82225,0,0
0.00021692099088871,356,-1.82175,0,0
0.00021752945827596,357,-1.82125,0,0
0.00021813792628392,358,-1.82075,0,0
0.00021874639444239,359,-1.82025,0,0
0.00021935486181062,360,-1.81975,0,0
0.0002199633293302,361,-1.81925,0,0
0.00022057179794278,362,-1.81875,0,0
0.00022118026529576,363,-1.81825,0,0
0.00022178873327196,364,-1.81775,0,0
0.0002223972009306,365,-1.81725,0,0
0.00022300566874271,366,-1.81675,0,0
0.00022361413576751,367,-1.81625,0,0
0.00022422260388781,368,-1.81575,0,0
0.00022483107075103,369,-1.81525,0,0
0.00022543953823999,370,-1.81475,0,0
0.00022604800588452,371,-1.81425,0,0
0.00022665647274383,372,-1.81375,0,0
0.00022726494023015,373,-1.81325,0,0
0.00022787340740269,374,-1.81275,0,0
0.00022848187473246,375,-1.81225,0,0
0.00022909034127871,376,-1.81175,0,0
0.00022969880892423,377,-1.81125,0,0
0.00023030727531646,378,-1.81075,0,0
0.0002309157428088,379,-1.81025,0,0
0.00023152420904869,380,-1.80975,0,0
0.00023213267638954,381,-1.80925,0,0
0.00023274114247877,382,-1.80875,0,0
0.00023334960966981,383,-1.80825,0,0
