cm,id,x,y,z
1241.1016949153,4240,0.06,0,0
1241.1016949153,4241,0.06025,0,0
1241.1016949153,4242,0.0605,0,0
1241.1016949153,4243,0.06075,0,0
1241.1016949153,4244,0.061,0,0
1241.1016949153,4245,0.06125,0,0
1241.1016949153,4246,0.0615,0,0
1241.1016949153,4247,0.06175,0,0
1241.1016949153,4248,0.062,0,0
1241.1016949153,4249,0.06225,0,0
1241.1016949153,4250,0.0625,0,0
1241.1016949153,4251,0.06275,0,0
1241.1016949153,4252,0.063,0,0
1241.1016949153,4253,0.06325,0,0
1241.1016949153,4254,0.0635,0,0
1241.1016949153,4255,0.06375,0,0
1241.1016949153,4256,0.064,0,0
1241.1016949153,4257,0.06425,0,0
1241.1016949153,4258,0.0645,0,0
1241.1016949153,4259,0.06475,0,0
1241.1016949153,4260,0.065,0,0
1241.1016949153,4261,0.06525,0,0
1241.1016949153,4262,0.0655,0,0
1241.1016949153,4263,0.06575,0,0
1241.1016949153,4264,0.066,0,0
1241.1016949153,4265,0.06625,0,0
1241.1016949153,4266,0.0665,0,0
1241.1016949153,4267,0.06675,0,0
1241.1016949153,4268,0.067,0,0
1241.1016949153,4269,0.06725,0,0
1241.1016949153,4270,0.0675,0,0
1241.1016949153,4271,0.06775,0,0
1241.1016949153,4272,0.068,0,0
1241.1016949153,4273,0.06825,0,0
1241.1016949153,4274,0.0685,0,0
1241.1016949153,4275,0.06875,0,0
1241.1016949153,4276,0.069,0,0
1241.1016949153,4277,0.06925,0,0
1241.1016949153,4278,0.0695,0,0
1241.1016949153,4279,0.06975,0,0
1241.1016949153,4280,0.07,0,0
1241.1016949153,4281,0.07025,0,0
1241.1016949153,4282,0.0705,0,0
1241.1016949153,4283,0.07075,0,0
1241.1016949153,4284,0.071,0,0
1241.1016949153,4285,0.07125,0,0
1241.1016949153,4286,0.0715,0,0
1241.1016949153,4287,0.07175,0,0
1241.1016949153,4288,0.072,0,0
1241.1016949153,4289,0.07225,0,0
1241.1016949153,4290,0.0725,0,0
1241.1016949153,4291,0.07275,0,0
1241.1016949153,4292,0.073,0,0
1241.1016949153,4293,0.07325,0,0
1241.1016949153,4294,0.0735,0,0
1241.1016949153,4295,0.07375,0,0
1241.1016949153,4296,0.074,0,0
1241.1016949153,4297,0.07425,0,0
1241.1016949153,4298,0.0745,0,0
1241.1016949153,4299,0.07475,0,0
1241.1016949153,4300,0.075,0,0
1241.1016949153,4301,0.07525,0,0
1241.1016949153,4302,0.0755,0,0
1241.1016949153,4303,0.07575,0,0
1241.1016949153,4304,0.076,0,0
1241.1016949153,4305,0.07625,0,0
1241.1016949153,4306,0.0765,0,0
1241.1016949153,4307,0.07675,0,0
1241.1016949153,4308,0.077,0,0
1241.1016949153,4309,0.07725,0,0
1241.1016949153,4310,0.0775,0,0
1241.1016949153,4311,0.07775,0,0
1241.1016949153,4312,0.078,0,0
1241.1016949153,4313,0.07825,0,0
1241.1016949153,4314,0.0785,0,0
1241.1016949153,4315,0.07875,0,0
1241.1016949153,4316,0.079,0,0
1241.1016949153,4317,0.07925,0,0
1241.1016949153,4318,0.0795,0,0
