id,rho_ODE,x,y,z
204,-2.4268798938465e-05,-1.89775,0,0
205,-2.4268798938465e-05,-1.89725,0,0
206,-2.4268798895832e-05,-1.89675,0,0
207,-2.4268798895832e-05,-1.89625,0,0
208,-2.4268798938465e-05,-1.89575,0,0
209,-2.4268798981097e-05,-1.89525,0,0
210,-2.4268798895832e-05,-1.89475,0,0
211,-2.4268798895832e-05,-1.89425,0,0
212,-2.4268798938465e-05,-1.89375,0,0
213,-2.4268798938465e-05,-1.89325,0,0
214,-2.4268798981097e-05,-1.89275,0,0
215,-2.4268798938465e-05,-1.89225,0,0
216,-2.4268798981097e-05,-1.89175,0,0
217,-2.4268798938465e-05,-1.89125,0,0
218,-2.4268798938465e-05,-1.89075,0,0
219,-2.4268798938465e-05,-1.89025,0,0
220,-2.426879902373e-05,-1.88975,0,0
221,-2.4268798938465e-05,-1.88925,0,0
222,-2.4268798938465e-05,-1.88875,0,0
223,-2.4268798938465e-05,-1.88825,0,0
224,-2.4268798981097e-05,-1.88775,0,0
225,-2.4268798981097e-05,-1.88725,0,0
226,-2.4268798938465e-05,-1.88675,0,0
227,-2.4268798938465e-05,-1.88625,0,0
228,-2.4268798981097e-05,-1.88575,0,0
229,-2.4268798938465e-05,-1.88525,0,0
230,-2.4268798938465e-05,-1.88475,0,0
231,-2.4268798981097e-05,-1.88425,0,0
232,-2.4268798981097e-05,-1.88375,0,0
233,-2.4268798938465e-05,-1.88325,0,0
234,-2.4268798938465e-05,-1.88275,0,0
235,-2.4268798938465e-05,-1.88225,0,0
236,-2.4268798938465e-05,-1.88175,0,0
237,-2.4268798981097e-05,-1.88125,0,0
238,-2.4268798938465e-05,-1.88075,0,0
239,-2.4268798938465e-05,-1.88025,0,0
240,-2.4268798895832e-05,-1.87975,0,0
241,-2.4268798981097e-05,-1.87925,0,0
242,-2.4268798981097e-05,-1.87875,0,0
243,-2.4268798938465e-05,-1.87825,0,0
244,-2.4268798938465e-05,-1.87775,0,0
245,-2.4268798981097e-05,-1.87725,0,0
246,-2.4268798938465e-05,-1.87675,0,0
247,-2.4268798938465e-05,-1.87625,0,0
248,-2.4268798938465e-05,-1.87575,0,0
249,-2.4268798981097e-05,-1.87525,0,0
250,-2.4268798938465e-05,-1.87475,0,0
251,-2.4268798938465e-05,-1.87425,0,0
252,-2.4268798938465e-05,-1.87375,0,0
253,-2.4268798938465e-05,-1.87325,0,0
254,-2.4268798981097e-05,-1.87275,0,0
255,-2.4268798938465e-05,-1.87225,0,0
256,-2.4268798938465e-05,-1.87175,0,0
257,-2.4268798938465e-05,-1.87125,0,0
258,-2.4268798938465e-05,-1.87075,0,0
259,-2.4268798938465e-05,-1.87025,0,0
260,-2.4268798981097e-05,-1.86975,0,0
261,-2.4268798938465e-05,-1.86925,0,0
262,-2.4268798938465e-05,-1.86875,0,0
263,-2.4268798938465e-05,-1.86825,0,0
264,-2.4268798938465e-05,-1.86775,0,0
265,-2.4268798981097e-05,-1.86725,0,0
266,-2.4268798938465e-05,-1.86675,0,0
267,-2.4268798938465e-05,-1.86625,0,0
