cn_ODE,id,x,y,z
0,4493,0.123375,0,0
0,4494,0.123625,0,0
0,4495,0.123875,0,0
0,4496,0.124125,0,0
0,4497,0.124375,0,0
0,4498,0.124625,0,0
0,4499,0.124875,0,0
0,4500,0.125125,0,0
0,4501,0.125375,0,0
0,4502,0.125625,0,0
0,4503,0.125875,0,0
0,4504,0.126125,0,0
0,4505,0.126375,0,0
0,4506,0.126625,0,0
0,4507,0.126875,0,0
0,4508,0.127125,0,0
0,4509,0.127375,0,0
0,4510,0.127625,0,0
0,4511,0.127875,0,0
0,4512,0.128125,0,0
0,4513,0.128375,0,0
0,4514,0.128625,0,0
0,4515,0.128875,0,0
0,4516,0.129125,0,0
0,4517,0.129375,0,0
0,4518,0.129625,0,0
0,4519,0.129875,0,0
0,4520,0.130125,0,0
0,4521,0.130375,0,0
0,4522,0.130625,0,0
0,4523,0.130875,0,0
0,4524,0.131125,0,0
0,4525,0.131375,0,0
0,4526,0.131625,0,0
0,4527,0.131875,0,0
0,4528,0.132125,0,0
0,4529,0.132375,0,0
0,4530,0.132625,0,0
0,4531,0.132875,0,0
0,4532,0.133125,0,0
0,4533,0.133375,0,0
0,4534,0.133625,0,0
0,4535,0.133875,0,0
0,4536,0.134125,0,0
0,4537,0.134375,0,0
0,4538,0.134625,0,0
0,4539,0.134875,0,0
0,4540,0.135125,0,0
0,4541,0.135375,0,0
0,4542,0.135625,0,0
0,4543,0.135875,0,0
0,4544,0.136125,0,0
