cn_ODE,id,x,y,z
-2.21832127274e-09,4298,0.074625,0,0
-2.220551155441e-09,4299,0.074875,0,0
-2.2225584494844e-09,4300,0.075125,0,0
-2.2250787441941e-09,4301,0.075375,0,0
-2.2271962184673e-09,4302,0.075625,0,0
-2.2294043242901e-09,4303,0.075875,0,0
-2.2315331640378e-09,4304,0.076125,0,0
-2.2338966962051e-09,4305,0.076375,0,0
-2.2360672763812e-09,4306,0.076625,0,0
-2.2384014686011e-09,4307,0.076875,0,0
-2.240427125587e-09,4308,0.077125,0,0
-2.2427643582893e-09,4309,0.077375,0,0
-2.2449796142085e-09,4310,0.077625,0,0
-2.2472254999776e-09,4311,0.077875,0,0
-2.2494160645476e-09,4312,0.078125,0,0
-2.2517508386859e-09,4313,0.078375,0,0
-2.2538668257048e-09,4314,0.078625,0,0
-2.2559429971336e-09,4315,0.078875,0,0
-2.2582855041542e-09,4316,0.079125,0,0
-2.2605597185539e-09,4317,0.079375,0,0
-2.2628709996845e-09,4318,0.079625,0,0
-2.2649188859321e-09,4319,0.079875,0,0
-2.2673320367744e-09,4320,0.080125,0,0
-2.2693202211311e-09,4321,0.080375,0,0
-2.2715328854819e-09,4322,0.080625,0,0
-2.273947237539e-09,4323,0.080875,0,0
-2.2760381929046e-09,4324,0.081125,0,0
-2.2782410931204e-09,4325,0.081375,0,0
-2.2805197667352e-09,4326,0.081625,0,0
-2.2825777636288e-09,4327,0.081875,0,0
-2.2851728262755e-09,4328,0.082125,0,0
-2.2871071117439e-09,4329,0.082375,0,0
-2.2894758579207e-09,4330,0.082625,0,0
-2.2914307206789e-09,4331,0.082875,0,0
-2.2937958763577e-09,4332,0.083125,0,0
-2.2958480860511e-09,4333,0.083375,0,0
-2.2983797799811e-09,4334,0.083625,0,0
-2.3004052061403e-09,4335,0.083875,0,0
-2.3026266429877e-09,4336,0.084125,0,0
-2.3048676448055e-09,4337,0.084375,0,0
-2.3072102651794e-09,4338,0.084625,0,0
-2.3091538749491e-09,4339,0.084875,0,0
-2.3117082881188e-09,4340,0.085125,0,0
-2.3136205819826e-09,4341,0.085375,0,0
-2.3161392580327e-09,4342,0.085625,0,0
-2.3181321463631e-09,4343,0.085875,0,0
-2.320252610622e-09,4344,0.086125,0,0
-2.3227040798525e-09,4345,0.086375,0,0
-2.3247951257219e-09,4346,0.086625,0,0
-2.3269621883938e-09,4347,0.086875,0,0
-2.3291726513534e-09,4348,0.087125,0,0
-2.331366514202e-09,4349,0.087375,0,0
-2.333676989147e-09,4350,0.087625,0,0
-2.3358351237935e-09,4351,0.087875,0,0
-2.3379489286928e-09,4352,0.088125,0,0
-2.3402180478573e-09,4353,0.088375,0,0
-2.3425778261643e-09,4354,0.088625,0,0
-2.3446632563273e-09,4355,0.088875,0,0
-2.3468716155281e-09,4356,0.089125,0,0
-2.3490570667567e-09,4357,0.089375,0,0
-2.3512665132497e-09,4358,0.089625,0,0
-2.353440074277e-09,4359,0.089875,0,0
-2.3559814585621e-09,4360,0.090125,0,0
-2.3575314588703e-09,4361,0.090375,0,0
-2.3603788259607e-09,4362,0.090625,0,0
-2.3622819484499e-09,4363,0.090875,0,0
-2.3646195647972e-09,4364,0.091125,0,0
-2.3664895030021e-09,4365,0.091375,0,0
-2.3690729884839e-09,4366,0.091625,0,0
-2.3711030792874e-09,4367,0.091875,0,0
-2.373262535495e-09,4368,0.092125,0,0
-2.3755921874015e-09,4369,0.092375,0,0
-2.3777231255954e-09,4370,0.092625,0,0
-2.379942082493e-09,4371,0.092875,0,0
-2.3821878106462e-09,4372,0.093125,0,0
-2.3843652728769e-09,4373,0.093375,0,0
-2.3864855609257e-09,4374,0.093625,0,0
-2.3887629467252e-09,4375,0.093875,0,0
-2.390963749579e-09,4376,0.094125,0,0
-2.3930214218082e-09,4377,0.094375,0,0
-2.3955199083604e-09,4378,0.094625,0,0
-2.3975268902891e-09,4379,0.094875,0,0
-2.3997002985795e-09,4380,0.095125,0,0
-2.4017924638335e-09,4381,0.095375,0,0
-2.4041924722752e-09,4382,0.095625,0,0
-2.406483387156e-09,4383,0.095875,0,0
-2.4085176130524e-09,4384,0.096125,0,0
-2.4108335972082e-09,4385,0.096375,0,0
-2.4126647552632e-09,4386,0.096625,0,0
-2.4150613904539e-09,4387,0.096875,0,0
-2.4174072907562e-09,4388,0.097125,0,0
-2.4195369660444e-09,4389,0.097375,0,0
-2.4216798027337e-09,4390,0.097625,0,0
-2.423896562875e-09,4391,0.097875,0,0
-2.42607544785e-09,4392,0.098125,0,0
-2.4281279694955e-09,4393,0.098375,0,0
-2.4306304000229e-09,4394,0.098625,0,0
-2.43276157048e-09,4395,0.098875,0,0
-2.4347560508258e-09,4396,0.099125,0,0
-2.4369123063873e-09,4397,0.099375,0,0
-2.4394473834889e-09,4398,0.099625,0,0
-2.4413986980871e-09,4399,0.099875,0,0
-2.4436881260117e-09,4400,0.100125,0,0
-2.4457052405686e-09,4401,0.100375,0,0
-2.4480927379136e-09,4402,0.100625,0,0
-2.4502550606163e-09,4403,0.100875,0,0
-2.4523258218491e-09,4404,0.101125,0,0
-2.4546056297562e-09,4405,0.101375,0,0
-2.4567467399891e-09,4406,0.101625,0,0
-2.4589739985143e-09,4407,0.101875,0,0
-2.4612280558338e-09,4408,0.102125,0,0
-2.4632059047623e-09,4409,0.102375,0,0
-2.4654739654744e-09,4410,0.102625,0,0
-2.4677708419221e-09,4411,0.102875,0,0
-2.4697442446188e-09,4412,0.103125,0,0
-2.4722057551877e-09,4413,0.103375,0,0
-2.4741931655325e-09,4414,0.103625,0,0
-2.4763728773472e-09,4415,0.103875,0,0
-2.4786451700257e-09,4416,0.104125,0,0
-2.480837008994e-09,4417,0.104375,0,0
-2.4829560628956e-09,4418,0.104625,0,0
-2.4850399174146e-09,4419,0.104875,0,0
