grad_psi_e,id,x,y,z
3.2490345915903e-06,2038,-0.98075,0,0
3.2490345347469e-06,2039,-0.98025,0,0
3.2490344779035e-06,2040,-0.97975,0,0
3.2490345915903e-06,2041,-0.97925,0,0
3.2490345915903e-06,2042,-0.97875,0,0
3.2490345347469e-06,2043,-0.97825,0,0
3.2490345915903e-06,2044,-0.97775,0,0
3.2490345347469e-06,2045,-0.97725,0,0
3.2490345347469e-06,2046,-0.97675,0,0
3.2490345347469e-06,2047,-0.97625,0,0
3.2490345915903e-06,2048,-0.97575,0,0
3.2490344779035e-06,2049,-0.97525,0,0
3.2490345347469e-06,2050,-0.97475,0,0
3.2490345347469e-06,2051,-0.97425,0,0
3.2490345915903e-06,2052,-0.97375,0,0
3.2490345347469e-06,2053,-0.97325,0,0
3.2490345915903e-06,2054,-0.97275,0,0
3.2490345347469e-06,2055,-0.97225,0,0
3.2490345347469e-06,2056,-0.97175,0,0
3.2490345347469e-06,2057,-0.97125,0,0
3.2490345347469e-06,2058,-0.97075,0,0
3.2490344779035e-06,2059,-0.97025,0,0
3.2490345915903e-06,2060,-0.96975,0,0
3.2490345915903e-06,2061,-0.96925,0,0
3.2490345347469e-06,2062,-0.96875,0,0
3.2490345347469e-06,2063,-0.96825,0,0
3.2490345915903e-06,2064,-0.96775,0,0
3.2490344779035e-06,2065,-0.96725,0,0
3.2490345347469e-06,2066,-0.96675,0,0
3.2490345347469e-06,2067,-0.96625,0,0
3.2490345347469e-06,2068,-0.96575,0,0
3.2490345915903e-06,2069,-0.96525,0,0
3.2490344779035e-06,2070,-0.96475,0,0
3.2490345915903e-06,2071,-0.96425,0,0
3.2490345347469e-06,2072,-0.96375,0,0
3.2490344779035e-06,2073,-0.96325,0,0
3.2490345915903e-06,2074,-0.96275,0,0
3.2490344779035e-06,2075,-0.96225,0,0
3.2490345347469e-06,2076,-0.96175,0,0
3.2490345915903e-06,2077,-0.96125,0,0
3.2490344779035e-06,2078,-0.96075,0,0
3.2490345347469e-06,2079,-0.96025,0,0
3.2490345915903e-06,2080,-0.95975,0,0
3.2490344779035e-06,2081,-0.95925,0,0
3.2490345347469e-06,2082,-0.95875,0,0
3.2490344779035e-06,2083,-0.95825,0,0
3.2490345915903e-06,2084,-0.95775,0,0
3.2490345347469e-06,2085,-0.95725,0,0
3.2490344779035e-06,2086,-0.95675,0,0
3.2490345915903e-06,2087,-0.95625,0,0
3.2490345347469e-06,2088,-0.95575,0,0
3.2490344779035e-06,2089,-0.95525,0,0
3.2490345915903e-06,2090,-0.95475,0,0
3.2490344779035e-06,2091,-0.95425,0,0
3.2490345347469e-06,2092,-0.95375,0,0
3.2490345915903e-06,2093,-0.95325,0,0
3.2490344779035e-06,2094,-0.95275,0,0
3.2490345347469e-06,2095,-0.95225,0,0
3.2490345347469e-06,2096,-0.95175,0,0
3.2490345347469e-06,2097,-0.95125,0,0
