ci_ODE,id,x,y,z
0.0001248845657157,205,-1.89725,0,0
0.00012549227444085,206,-1.89675,0,0
0.00012609998380843,207,-1.89625,0,0
0.00012670769324536,208,-1.89575,0,0
0.00012731540160513,209,-1.89525,0,0
0.00012792311118176,210,-1.89475,0,0
0.00012853082025532,211,-1.89425,0,0
0.00012913852882614,212,-1.89375,0,0
0.00012974623861483,213,-1.89325,0,0
0.00013035394732802,214,-1.89275,0,0
0.00013096165611291,215,-1.89225,0,0
0.00013156936496981,216,-1.89175,0,0
0.0001321770744725,217,-1.89125,0,0
0.0001327847823276,218,-1.89075,0,0
0.000133392491976,219,-1.89025,0,0
0.00013400020055092,220,-1.88975,0,0
0.00013460790977295,221,-1.88925,0,0
0.00013521561849558,222,-1.88875,0,0
0.00013582332729258,223,-1.88825,0,0
0.00013643103673769,224,-1.88775,0,0
0.00013703874453756,225,-1.88725,0,0
0.00013764645355965,226,-1.88675,0,0
0.00013825416208401,227,-1.88625,0,0
0.00013886187125783,228,-1.88575,0,0
0.00013946957878774,229,-1.88525,0,0
0.00014007728868805,230,-1.88475,0,0
0.0001406849963717,231,-1.88425,0,0
0.00014129270527956,232,-1.88375,0,0
0.00014190041426513,233,-1.88325,0,0
0.00014250812218189,234,-1.88275,0,0
0.00014311583075045,235,-1.88225,0,0
0.00014372353997113,236,-1.88175,0,0
0.00014433124755059,237,-1.88125,0,0
0.00014493895578284,238,-1.88075,0,0
0.00014554666466823,239,-1.88025,0,0
0.00014615437248681,240,-1.87975,0,0
0.00014676208095919,241,-1.87925,0,0
0.00014736978893886,242,-1.87875,0,0
0.00014797749814642,243,-1.87825,0,0
0.00014858520686194,244,-1.87775,0,0
0.0001491929139389,245,-1.87725,0,0
0.00014980062224475,246,-1.87675,0,0
0.00015040833063299,247,-1.87625,0,0
0.00015101603853052,248,-1.87575,0,0
0.00015162374708453,249,-1.87525,0,0
0.00015223145514849,250,-1.87475,0,0
0.00015283916272275,251,-1.87425,0,0
0.00015344687095449,252,-1.87375,0,0
0.00015405457869719,253,-1.87325,0,0
0.00015466228652462,254,-1.87275,0,0
0.00015526999558395,255,-1.87225,0,0
0.00015587770300839,256,-1.87175,0,0
0.00015648541051856,257,-1.87125,0,0
0.00015709311868821,258,-1.87075,0,0
0.00015770082637083,259,-1.87025,0,0
0.00015830853414018,260,-1.86975,0,0
0.00015891624257001,261,-1.86925,0,0
